project_id,client_id,client_name,sector,service_line,start_date,planned_end_date,actual_end_date,status,complexity,team_size,senior_staff_count,junior_staff_count,contract_value_usd,actual_cost_usd,delay_days,cost_overrun_pct,client_satisfaction_score,renewed_within_12m,acquisition_channel
P1066,C-PS-Client-05,PS-Client-05,Public Sector,Data Visualization & Analytics,2021-01-05,2021-03-05,2021-03-08,Completed,Low,4,2,2,31800.0,33100.0,3.0,0.042,3.7,No,Repeat Client
P0866,C-FAI-Client-07,FAI-Client-07,Finance and Insurance,Stakeholder Engagement,2021-01-07,2021-04-07,2021-04-10,Completed,Low,2,1,1,29000.0,30000.0,3.0,0.034,4.2,Yes,Competitive Tender
P1401,C-TAI-Client-07,TAI-Client-07,Technology and Innovation,Digital Transformation,2021-01-08,2021-03-08,2021-03-10,Completed,Low,4,2,2,33800.0,34800.0,2.0,0.029,4.3,No,Direct Outreach
P0003,C-A-Client-04,A-Client-04,Agriculture,Digital Transformation,2021-01-08,2021-03-08,2021-05-05,Completed,Medium,8,2,6,65300.0,88400.0,58.0,0.354,2.5,No,Competitive Tender
P0864,C-FAI-Client-08,FAI-Client-08,Finance and Insurance,Strategic Planning,2021-01-10,2021-03-10,2021-03-13,Completed,Low,2,1,1,23600.0,24800.0,3.0,0.052,4.1,No,Referral
P0867,C-FAI-Client-03,FAI-Client-03,Finance and Insurance,Market & Social Research,2021-01-10,2021-03-10,2021-03-11,Completed,Low,2,1,1,20700.0,21100.0,1.0,0.018,4.2,Yes,Competitive Tender
P1218,C-CEAT-Client-09,CEAT-Client-09,Creative Economy and Tourism,Market & Social Research,2021-01-11,2021-04-11,2021-05-19,Completed,Low,2,1,1,17300.0,23700.0,38.0,0.372,3.3,No,Competitive Tender
P1399,C-TAI-Client-01,TAI-Client-01,Technology and Innovation,Digital Transformation,2021-01-12,2021-04-12,2021-04-16,Completed,Low,2,1,1,23800.0,25000.0,4.0,0.049,4.3,No,Direct Outreach
P1219,C-CEAT-Client-05,CEAT-Client-05,Creative Economy and Tourism,Data Visualization & Analytics,2021-01-13,2021-04-13,2021-04-15,Completed,Low,4,1,3,36400.0,37100.0,2.0,0.018,4.6,Yes,Competitive Tender
P0002,C-A-Client-02,A-Client-02,Agriculture,Market & Social Research,2021-01-14,2021-02-14,2021-02-14,Completed,Low,2,1,1,6500.0,6500.0,0.0,0.0,4.1,No,Repeat Client
P1220,C-CEAT-Client-01,CEAT-Client-01,Creative Economy and Tourism,Digital Transformation,2021-01-15,2021-03-15,2021-03-18,Completed,Low,3,1,2,16800.0,17500.0,3.0,0.039,4.4,No,Referral
P1216,C-CEAT-Client-09,CEAT-Client-09,Creative Economy and Tourism,Data Visualization & Analytics,2021-01-15,2021-07-15,2021-07-15,Completed,High,12,5,7,282900.0,282900.0,0.0,0.0,4.6,Yes,Referral
P1061,C-PS-Client-05,PS-Client-05,Public Sector,Stakeholder Engagement,2021-01-16,2021-02-16,2021-03-24,Completed,Low,2,1,1,6100.0,9800.0,36.0,0.6,2.2,No,Competitive Tender
P1064,C-PS-Client-04,PS-Client-04,Public Sector,Digital Transformation,2021-01-17,2021-02-17,2021-02-18,Completed,Low,3,1,2,10300.0,10500.0,1.0,0.021,4.7,Yes,Direct Outreach
P1400,C-TAI-Client-05,TAI-Client-05,Technology and Innovation,Strategic Planning,2021-01-18,2021-07-18,2021-08-21,Completed,High,8,3,5,315100.0,366800.0,34.0,0.164,3.9,Yes,Competitive Tender
P1062,C-PS-Client-04,PS-Client-04,Public Sector,Strategic Planning,2021-01-18,2021-06-18,2021-06-19,Completed,Medium,6,2,4,155200.0,156300.0,1.0,0.007,4.0,No,Direct Outreach
P0004,C-A-Client-08,A-Client-08,Agriculture,Stakeholder Engagement,2021-01-21,2021-06-21,2021-09-11,Completed,Medium,5,2,3,88400.0,112800.0,82.0,0.276,3.0,No,Competitive Tender
P0001,C-A-Client-02,A-Client-02,Agriculture,Stakeholder Engagement,2021-01-22,2021-04-22,2021-04-22,Completed,Low,4,1,3,44800.0,44800.0,0.0,0.0,4.1,Yes,Competitive Tender
P1063,C-PS-Client-09,PS-Client-09,Public Sector,Strategic Planning,2021-01-23,2021-10-23,2022-01-14,Completed,High,7,2,5,291300.0,333500.0,83.0,0.145,2.0,No,Direct Outreach
P0631,C-E-Client-07,E-Client-07,Energy,Political Risk Management,2021-01-23,2021-02-23,2021-03-07,Completed,Low,4,1,3,22800.0,30600.0,12.0,0.343,3.4,No,Referral
P1065,C-PS-Client-06,PS-Client-06,Public Sector,Strategic Planning,2021-01-26,2021-03-26,2021-04-11,Completed,Low,3,1,2,20000.0,25500.0,16.0,0.273,3.0,No,Direct Outreach
P0239,C-CACM-Client-04,CACM-Client-04,Climate and Carbon Markets,Stakeholder Engagement,2021-01-26,2021-05-26,2021-05-28,Completed,Medium,5,2,3,99200.0,100700.0,2.0,0.015,4.0,Yes,Referral
P0863,C-FAI-Client-05,FAI-Client-05,Finance and Insurance,Stakeholder Engagement,2021-01-26,2021-05-26,,Cancelled,Medium,6,2,4,141400.0,144400.0,,,,N/A,Direct Outreach
P0865,C-FAI-Client-02,FAI-Client-02,Finance and Insurance,Political Risk Management,2021-01-28,2021-04-28,2021-04-29,Completed,Low,4,1,3,56000.0,56700.0,1.0,0.013,4.6,Yes,Competitive Tender
P1217,C-CEAT-Client-07,CEAT-Client-07,Creative Economy and Tourism,Digital Transformation,2021-01-28,2021-05-28,2021-05-29,Completed,Medium,7,3,4,110800.0,111600.0,1.0,0.007,4.4,Yes,Direct Outreach
P1406,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Digital Transformation,2021-02-01,2021-04-01,2021-06-24,Completed,Medium,4,1,3,50300.0,79900.0,84.0,0.589,2.3,Yes,Repeat Client
P0007,C-A-Client-06,A-Client-06,Agriculture,Data Visualization & Analytics,2021-02-03,2021-07-03,2021-09-20,Completed,Medium,4,2,2,69400.0,94200.0,79.0,0.358,2.4,No,Repeat Client
P0011,C-A-Client-05,A-Client-05,Agriculture,Strategic Planning,2021-02-03,2021-06-03,2021-06-07,Completed,High,10,4,6,177900.0,185000.0,4.0,0.04,4.1,No,Competitive Tender
P0009,C-A-Client-05,A-Client-05,Agriculture,Digital Transformation,2021-02-04,2021-07-04,2021-07-16,Completed,Medium,4,1,3,79200.0,85300.0,12.0,0.077,4.3,Yes,Referral
P1408,C-TAI-Client-08,TAI-Client-08,Technology and Innovation,Digital Transformation,2021-02-05,2021-05-05,2021-06-03,Completed,Low,3,1,2,36100.0,45300.0,29.0,0.256,3.8,No,Referral
P1405,C-TAI-Client-03,TAI-Client-03,Technology and Innovation,Market & Social Research,2021-02-05,2021-04-05,2021-04-05,Completed,Low,4,2,2,36500.0,36500.0,0.0,0.0,4.4,No,Direct Outreach
